idx,name,uri,key,mode,danceability,energy,loudness,acousticness,instrumentalness,liveness,valence,tempo,new_order
1,there's nothing left to say,spotify:track:6ruO6dcgAJjD69kPDkLFaW,7,1,0.541,0.444,-8.221,0.364,0.0,0.134,0.167,130.02,1
2,"Long Drive, Dark Lights",spotify:track:6euQJF8w7T6t2wF9uxgUUC,4,0,0.525,0.448,-9.084,0.498,0.0,0.142,0.0537,139.857,2
3,Ashes and Chandeliers,spotify:track:3WtfrGxLo5fkomGFVkN8sm,11,0,0.598,0.416,-9.076,0.255,0.0,0.349,0.177,144.995,3
4,Letdown,spotify:track:0XkzJLCRxwgxP63Gtj1wKA,3,0,0.556,0.523,-7.3,0.181,3.22e-06,0.109,0.215,154.892,4
5,falling out the window,spotify:track:24AUyaOdDRSgZZgfBcH8qS,8,1,0.495,0.575,-7.411,0.00648,0.000121,0.501,0.175,173.997,5
6,burden boy,spotify:track:275fcsRsJnwFNUUxI8rHC4,0,1,0.498,0.459,-9.721,0.736,1.94e-06,0.0948,0.182,113.919,6
7,gracie,spotify:track:6xMCk4cmGfQOTUwzpjKMxF,9,1,0.591,0.686,-9.766,0.318,4.33e-06,0.0998,0.442,95.001,7
8,No Angel,spotify:track:27SH1tb2ambXJprkvuy8nY,8,0,0.555,0.86,-4.727,0.0126,0.000495,0.109,0.314,89.468,8
9,Roses,spotify:track:20GwOrOemx1FbBmCblfWSC,5,0,0.687,0.353,-12.836,0.384,0.0,0.134,0.145,83.568,9
